danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,popularity
0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,2K2M0TcglCRLLpFOzKeFZA,250400,4,Folk,72
0.673,0.581,2,-10.205,1,0.029,0.223,0.000206,0.063,0.818,130.771,4IU1RL4BKvFyXtbTwaHAvW,211387,4,Folk,70
0.75,0.62,7,-8.72,1,0.0257,0.0932,0.0135,0.0612,0.93,103.538,6kotXaSQaGYxE62hVpdHWu,209467,4,Folk,68
0.492,0.552,7,-12.321,0,0.0341,0.0151,3.74e-05,0.0723,0.655,105.623,1CQqupcyMg7176PPmIVmSj,257227,4,Folk,70
0.375,0.304,1,-14.52,1,0.0302,0.943,0.303,0.126,0.147,147.989,4fbvXwMTXPWaFyaMWUm9CR,336613,4,Folk,70
0.578,0.727,10,-4.872,1,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,1jyddn36UN4tVsJGtaJfem,231840,4,Folk,69
0.53,0.634,2,-5.759,1,0.0311,0.249,0.000622,0.0979,0.106,111.615,7KWGfnsUU4Ri46TIvjpAPx,306373,4,Folk,70
0.649,0.718,0,-6.593,0,0.0261,0.142,0.0713,0.124,0.718,101.034,2EWpa5XnAuSn0sIkSSIhYk,274093,4,Folk,69
0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,608xszaAxVh4m7NcKJiAbF,291686,4,Folk,71
0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,5cfYurP1XKldMBtvBBJiTs,288507,4,Folk,71
0.441,0.547,4,-12.222,1,0.0337,0.13,0.000143,0.109,0.716,134.753,5VSAonaAPhhGn0G7hMYwWK,199573,4,Folk,69
0.732,0.328,5,-8.13,1,0.0327,0.487,0.0,0.0677,0.385,141.789,3d3LHam2Lc5ADEyJxG3fXE,199391,4,Folk,68
0.631,0.354,1,-11.112,1,0.0313,0.795,0.000107,0.0879,0.522,73.007,0s1aSsYlLIEiy16LjFWbdp,188693,4,Folk,69
0.584,0.474,9,-7.981,1,0.0258,0.796,2.69e-06,0.115,0.332,101.457,75nZ4W6quZhI55LKiqCXWh,280795,4,Folk,68
0.608,0.768,1,-9.911,1,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,7b4yGtR0rujvLi5EBfKKJ2,211160,4,Folk,69
0.455,0.437,4,-11.411,1,0.0278,0.314,0.0,0.501,0.724,81.396,1ne9wOtDF2jM6Cm8WBkaER,283640,4,Folk,68
0.541,0.616,0,-6.53,1,0.028,0.00114,1.09e-06,0.151,0.203,144.218,0i5QVxsK3IvEDbUjTA64Li,198600,4,Folk,68
0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,2ymeOsYijJz09LfKw3yM2x,220573,4,Folk,67
0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,429EttO8gs0bDo2SQfUNSm,230507,4,Folk,69
0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,2Gy7qnDwt8Z3MNxqat4CsK,153205,4,Folk,73
0.669,0.388,0,-11.547,1,0.0306,0.605,0.144,0.0905,0.645,130.016,1wAqhAF1dynDjMy7m5CSSE,231173,4,Folk,73
0.638,0.867,2,-6.469,1,0.0331,0.144,0.000733,0.0846,0.805,115.692,72ahyckBJfTigJCFCviVN7,243373,4,Folk,73
0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,4c4jJJoaiY21t2TyRZgdWS,271573,4,Folk,71
0.509,0.242,3,-13.353,1,0.0291,0.714,0.000365,0.127,0.448,169.642,46LI9mnlQ8fJHH47ioBubg,261120,4,Folk,67
0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,5L79aNYCTKiZq7vaOElXYj,209693,4,Folk,69
0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,29jtZGdgpE2lWm2mkIt6HS,223640,1,Folk,68
0.537,0.315,5,-13.79,1,0.0271,0.588,2.29e-05,0.206,0.575,86.813,2Pr1nZpt8A8WP7QYpyq6L3,190320,4,Folk,70
0.556,0.658,0,-6.075,1,0.0265,0.163,0.0,0.113,0.787,80.529,7GJ572zvnU94VZVrj5XRtb,203653,4,Folk,75
0.648,0.525,9,-9.213,1,0.0241,0.466,1.5e-06,0.165,0.724,98.131,4JwjzS9WFkWlpzGCwh82fn,314840,4,Folk,66
0.468,0.201,4,-17.024,1,0.0388,0.915,8.28e-05,0.0952,0.383,94.422,5OiaAaIMYlCZONyDBxqk4G,188800,4,Folk,70
0.505,0.258,11,-12.193,0,0.0297,0.805,0.0,0.12,0.641,141.003,0ju1jP0cSPJ8tmojYBEI89,254305,4,Folk,66
0.286,0.445,6,-8.087,1,0.0347,0.355,0.0,0.114,0.278,50.827,727Z2S2mtNH46CbP9EWPwY,217352,4,Folk,71
0.555,0.584,4,-8.667,1,0.0301,0.274,0.0228,0.254,0.41,120.965,4yyg2J2uXOjCtCyT64984C,284147,4,Folk,68
0.611,0.47,4,-9.135,1,0.0356,0.579,0.0,0.581,0.97,85.527,6UkMcAA19lTdjs22jtB7o2,134800,4,Folk,71
0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,1udKn1oNKYQSQ9OmiIWCMu,125827,4,Folk,69
0.705,0.474,10,-13.081,1,0.0391,0.443,0.0553,0.338,0.756,98.612,2vupkXhwL4sNCRgNu72HCZ,233128,4,Folk,67
