endTime,artistName,trackName,msPlayed
12/30/2019 02:20,A-Trak,Blaze,296129
12/30/2019 02:24,Moksi,Sunshine,237329
12/30/2019 02:39,Sonny Fodera,The Moment - Dubdogz & Zuffo Remix,72492
12/30/2019 02:44,A-Trak,Blaze,296129
12/30/2019 02:53,Sonny Fodera,The System,67088
12/30/2019 02:56,Moradzo,Un Deux Trois,155526
12/30/2019 02:59,Good Times Ahead,Hasta Bajo,179076
12/30/2019 03:02,Nasty Nephews,Body So Tight,177632
12/30/2019 03:04,Sleazy Stereo,Fire,148800
12/30/2019 03:06,Jerrih,Schuim Party,142497
12/30/2019 03:10,ETC!ETC!,Bomberos,192175
12/30/2019 03:13,Kasco,Gyoubu,182777
12/30/2019 03:15,Luciano Martina,Blaze Riddim,149400
12/30/2019 04:31,Crismajor,Te Lo Pego (feat. Godwonder),163287
12/30/2019 06:05,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),7980
12/30/2019 07:16,Travis Scott,HIGHEST IN THE ROOM,2240
12/30/2019 07:20,Roddy Ricch,The Box,196652
12/30/2019 07:22,Lil Baby,Yes Indeed,142273
12/30/2019 07:25,"Tyler, The Creator",I Ain't Got Time!,206266
12/30/2019 07:27,Aminé,REEL IT IN,121346
12/30/2019 07:29,Kanye West,Follow God,104591
12/30/2019 07:31,Rico Nasty,Countin' Up,150000
12/30/2019 07:35,ScHoolboy Q,Man Of The Year,216013
12/30/2019 07:39,Chance the Rapper,Hot Shower,225923
12/30/2019 07:42,Drake,Nonstop,238614
12/30/2019 07:45,Tyga,Ayy Macarena,131606
12/30/2019 07:47,Aminé,REDMERCEDES,169706
12/30/2019 07:49,K$upreme,GUCCI COLOGNE,134427
12/30/2019 07:52,Ski Mask The Slump God,Foot Fungus,129546
12/30/2019 07:55,Doja Cat,Tia Tamera (feat. Rico Nasty),211013
12/30/2019 07:58,A$AP Rocky,Babushka Boi,187105
12/30/2019 08:02,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),222586
12/30/2019 08:05,Young Thug,The London (feat. J. Cole & Travis Scott),200106
12/30/2019 08:07,DaBaby,VIBEZ,144935
12/30/2019 08:10,Ski Mask The Slump God,Faucet Failure,145626
12/30/2019 08:13,Cordae,RNP (feat. Anderson .Paak),175827
12/30/2019 08:16,Kendrick Lamar,DNA.,185946
12/30/2019 08:18,JID,151 Rum,156780
12/30/2019 08:20,Comethazine,Walk,96062
12/30/2019 08:23,Metro Boomin,Space Cadet (feat. Gunna),203266
12/30/2019 08:26,Kendrick Lamar,HUMBLE.,177000
12/30/2019 08:29,Playboi Carti,R.I.P.,192026
12/30/2019 08:32,Ethereal,Beef,213333
12/30/2019 08:36,Duckwrth,I'M DEAD,230632
12/30/2019 08:40,BROCKHAMPTON,BERLIN,199013
12/30/2019 08:42,Danny Brown,Ain't it Funny,177025
12/30/2019 08:45,Denzel Curry,RICKY,147866
12/30/2019 08:48,Duckwrth,Start a Riot,171466
12/30/2019 08:50,DaBaby,Suge,163319
12/30/2019 08:52,Rico Nasty,Smack a Bitch,138352
12/30/2019 08:55,YG,Stop Snitchin,149880
12/30/2019 08:59,ScHoolboy Q,X (with 2 Chainz & Saudi),267426
12/30/2019 09:03,Soulja Boy,Pretty Boy Swag,236093
