,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
41,41,12/29/2019 02:16,Kanye West,All Falls Down,223506,5SkRLpaGtvYPhw02vZhQQ9,223507.0,8.0,0.0,4.0,0.149,0.657,0.734,0.0,0.139,-4.832,0.484,0.434,91.03
42,42,12/29/2019 02:20,BROCKHAMPTON,1999 WILDFIRE,251250,1t4pPnbkOjzoA5RvsDjvUU,251250.0,5.0,1.0,4.0,0.253,0.811,0.57,0.0,0.148,-8.093,0.129,0.814,128.066
43,43,12/29/2019 02:24,Bas,Tribe (with J. Cole),238053,0YAQnYt2oB8OdoaeqnHyTI,238053.0,7.0,1.0,4.0,0.241,0.755,0.594,0.0,0.107,-5.906,0.216,0.237,178.929
44,44,12/29/2019 02:32,Smino,Amphetamine,469830,3Zau3JcrZcBfw8aVjKGkSX,469831.0,5.0,1.0,4.0,0.715,0.619,0.532,1.33e-05,0.0953,-9.554,0.515,0.401,120.019
45,45,12/29/2019 02:37,KIDS SEE GHOSTS,Reborn,324674,4RVbK6cV0VqWdpCDcx3hiT,324674.0,0.0,1.0,4.0,0.339,0.585,0.597,0.0404,0.195,-7.499,0.037,0.227,100.051
46,46,12/29/2019 20:39,Joey Bada$$,Survival Tactics,202784,4pNT8XTKWb2vhcsqwzdXCT,202785.0,1.0,1.0,4.0,0.428,0.53,0.843,0.0,0.164,-2.271,0.39,0.919,199.946
47,47,12/29/2019 20:43,Estelle,American Boy,284733,22UDw8rSfLbUsaAGTXQ4Z8,284733.0,0.0,1.0,4.0,0.171,0.727,0.729,0.0,0.07,-2.99,0.326,0.512,117.932
48,48,12/29/2019 20:46,Anarbor,You And I,177760,2iIxheqTYiaRm1Xn2hJlY8,177760.0,0.0,1.0,4.0,0.00135,0.616,0.871,0.0,0.426,-4.128,0.049,0.679,119.967
49,49,12/29/2019 21:10,Generationals,Put a Light On,100866,4ZFHITy0bAeZ3oFfvR0HaI,226933.0,1.0,1.0,4.0,0.056,0.688,0.771,0.000106,0.0561,-4.463,0.0291,0.481,100.01
50,50,12/29/2019 21:12,Generationals,Put a Light On,117924,4ZFHITy0bAeZ3oFfvR0HaI,226933.0,1.0,1.0,4.0,0.056,0.688,0.771,0.000106,0.0561,-4.463,0.0291,0.481,100.01
51,51,12/29/2019 21:16,BROCKHAMPTON,BLEACH,273151,0dWOFwdXrbBUYqD9DLsoyK,273151.0,1.0,0.0,4.0,0.462,0.595,0.657,0.000597,0.437,-6.498,0.183,0.718,156.093
52,52,12/29/2019 21:19,A$AP Rocky,Sundress,158205,2aPTvyE09vUCRwVvj0I8WK,158206.0,6.0,1.0,4.0,0.181,0.721,0.707,3.68e-06,0.143,-6.364,0.0595,0.743,125.005
53,53,12/29/2019 21:20,Earl Sweatshirt,Riot!,66133,6cmt9CRoK0KGcNg9Tpje53,66133.0,4.0,0.0,4.0,0.834,0.489,0.624,0.347,0.325,-1.916,0.0344,0.574,167.108
54,54,12/29/2019 21:22,Smino,Z4L (with Bari & Jay2),162590,3X6YJcqTinaNraRvojF62K,162591.0,11.0,0.0,4.0,0.0779,0.822,0.503,0.0,0.161,-6.889,0.285,0.408,71.524
55,55,12/29/2019 21:26,Abhi The Nomad,Sex n' Drugs,217776,0G2wimhVoDYXbQ6csDxtSf,217778.0,7.0,1.0,4.0,0.299,0.831,0.32,0.0,0.0757,-7.916,0.143,0.319,80.935
56,56,12/29/2019 21:30,BROCKHAMPTON,GOLD,266000,7HRv1sYuwgoea1m0JRvChV,266000.0,11.0,0.0,4.0,0.0716,0.808,0.647,0.000466,0.205,-6.947,0.166,0.29,110.036
57,57,12/29/2019 21:34,Childish Gambino,3005,234215,2ZltjIqztEpZtafc8w0I9t,234215.0,6.0,0.0,4.0,0.113,0.472,0.448,0.0,0.0914,-7.272,0.326,0.636,166.077
58,58,12/29/2019 21:36,Chance the Rapper,All Night (feat. Knox Fortune),141542,60xaS8mYBKUW4VQQ666N0T,141542.0,2.0,1.0,4.0,0.0358,0.704,0.777,0.0,0.151,-5.729,0.195,0.392,111.921
59,59,12/29/2019 21:39,Aminé,SHINE,150000,1OWGLpptXlHLw1yibeHiHa,150000.0,5.0,0.0,4.0,0.314,0.704,0.517,6.36e-06,0.174,-7.999,0.312,0.443,139.857
60,60,12/29/2019 21:41,Danny Brown,Grown Up,139930,2KrkWcSP0oFWBUZzvj9KjS,139931.0,11.0,1.0,4.0,0.132,0.635,0.766,0.0,0.122,-6.459,0.26,0.685,93.603
61,61,12/29/2019 21:44,BROCKHAMPTON,SUGAR,176595,6U0FIYXCQ3TGrk4tFpLrEA,204533.0,1.0,1.0,4.0,0.449,0.453,0.538,0.0,0.19,-8.212,0.0638,0.516,122.973
62,62,12/29/2019 21:47,GoldLink,Bedtime Story,164211,,,,,,,,,,,,,,
63,63,12/29/2019 21:50,Young Franco,About This Thing,197458,6ZEuIY9OWOMi9Jmp4ekbDt,197458.0,8.0,1.0,4.0,0.173,0.899,0.738,1.3e-06,0.108,-5.055,0.183,0.794,118.023
64,64,12/29/2019 21:54,KAYTRANADA,195,266949,40OVArVPa6nZ4VCtHQycuM,266949.0,4.0,0.0,4.0,0.193,0.914,0.414,7.58e-05,0.208,-10.196,0.905,0.0405,115.046
65,65,12/29/2019 22:00,Rihanna,Kiss It Better - KAYTRANADA Edition,325306,62tnsScYuep18LnQiQqHmX,325307.0,11.0,0.0,4.0,0.0229,0.854,0.498,0.000212,0.3,-7.922,0.332,0.343,108.049
66,66,12/29/2019 22:02,Young Franco,Girls Don't Cry,138615,6AFa1inJFSO1rnscIa8KfF,211639.0,3.0,0.0,4.0,0.32,0.786,0.541,0.0,0.134,-6.909,0.145,0.575,110.172
67,67,12/29/2019 22:07,KAYTRANADA,At All,287248,0aR99yr1CNoxlZxm2veB65,287249.0,2.0,1.0,4.0,0.0399,0.898,0.471,0.698,0.0694,-10.13,0.519,0.41,120.099
