0,1,2,3,4,Cloud Cover,Maximum Temperature,Minimum Temperature,Precipitation,Relative Humidity,Snow Depth,Temperature,Visibility,Wind Chill,Wind Gust,Wind Speed
0.0,0.0,0.0,1.0,0.0,81.3,51.0,38.0,0.57,71.51,0.0,44.8,8.0,32.4,21.9,13.7
0.0,0.0,0.0,1.0,0.0,87.5,73.0,44.9,0.13,71.47,0.0,52.6,9.6,39.5,40.3,20.8
0.0,0.0,1.0,0.0,0.0,40.8,46.0,30.7,0.0,43.61,0.0,39.6,9.9,22.1,33.1,22.8
1.0,0.0,0.0,0.0,0.0,23.4,41.0,22.8,0.0,34.03,0.0,31.8,10.0,13.1,21.9,13.6
0.0,0.0,0.0,1.0,0.0,81.6,37.0,32.0,0.61,66.27,5.91,34.2,5.0,24.0,28.9,15.8
0.0,1.0,0.0,0.0,0.0,80.3,42.1,33.1,0.0,72.67,5.12,37.2,9.5,26.2,10.0,8.1
0.0,0.0,1.0,0.0,0.0,69.3,46.9,29.5,0.0,68.02,1.18,38.6,9.2,30.2,10.0,6.9
0.0,0.0,1.0,0.0,0.0,35.8,58.9,28.9,0.0,60.03,0.0,44.6,9.9,31.8,20.8,14.7
0.0,0.0,1.0,0.0,0.0,38.0,60.1,44.0,0.0,48.97,0.0,51.8,9.9,37.4,27.7,17.0
0.0,0.0,0.0,1.0,0.0,60.1,51.2,30.8,0.24,67.18,0.0,41.2,8.6,26.0,10.0,10.2
0.0,0.0,0.0,1.0,0.0,84.6,51.1,43.0,0.55,80.35,0.0,46.4,6.6,41.3,30.0,14.7
0.0,0.0,0.0,1.0,0.0,82.8,46.8,40.9,0.12,76.64,0.0,44.2,9.7,35.2,24.2,13.9
0.0,0.0,0.0,1.0,0.0,79.3,47.8,38.0,0.09,69.48,0.0,42.7,9.9,35.0,10.0,6.9
0.0,0.0,1.0,0.0,0.0,57.4,55.0,33.1,0.0,47.51,0.0,43.6,10.0,29.8,25.3,16.9
0.0,0.0,0.0,1.0,0.0,79.6,56.6,38.9,0.02,55.91,0.0,45.5,10.0,32.1,31.1,21.8
0.0,0.0,0.0,1.0,0.0,86.8,51.1,42.1,0.21,76.5,0.0,46.5,9.3,36.7,20.6,12.7
0.0,1.0,0.0,0.0,0.0,77.7,62.0,46.3,0.0,61.98,0.0,53.8,9.9,43.3,10.0,7.8
0.0,0.0,1.0,0.0,0.0,73.5,61.8,48.7,0.0,64.78,0.0,54.3,9.9,48.0,23.0,15.8
0.0,0.0,1.0,0.0,0.0,63.2,64.0,42.1,0.0,35.86,0.0,55.0,10.0,44.7,24.2,17.1
0.0,0.0,0.0,1.0,0.0,71.0,58.9,44.9,0.2,63.71,0.0,50.8,9.5,41.2,10.0,14.6
0.0,0.0,0.0,1.0,0.0,60.3,51.1,42.1,0.28,68.46,0.0,46.0,9.0,34.5,46.0,23.9
0.0,0.0,1.0,0.0,0.0,62.5,46.9,37.1,0.0,56.29,0.0,41.9,9.9,28.9,41.1,28.5
0.0,0.0,1.0,0.0,0.0,46.7,48.7,35.9,0.0,49.36,0.0,42.1,9.9,27.0,35.7,22.9
0.0,0.0,1.0,0.0,0.0,55.3,62.9,29.8,0.0,43.57,0.0,48.1,10.0,26.5,26.0,18.0
0.0,1.0,0.0,0.0,0.0,77.8,51.1,42.1,0.0,38.74,0.0,46.9,10.0,38.0,34.1,20.7
0.0,0.0,0.0,1.0,0.0,59.2,43.9,33.1,0.01,52.3,0.0,38.1,9.5,24.5,36.8,23.9
0.0,0.0,0.0,1.0,0.0,68.9,48.7,29.0,0.05,52.84,0.0,39.7,9.5,21.7,25.3,17.1
